ts,voltage,temp
2025-02-06 16:52:19,1.1621,32.07
2025-02-06 16:52:21,1.1621,32.07
2025-02-06 16:52:23,1.167,32.07
2025-02-06 16:52:25,1.167,32.07
2025-02-06 16:52:27,1.167,32.57
2025-02-06 16:52:29,1.167,32.07
2025-02-06 16:52:31,1.1621,32.07
2025-02-06 16:52:33,1.1621,32.32
2025-02-06 16:52:35,1.1572,32.32
2025-02-06 16:52:37,1.1572,32.07
2025-02-06 16:52:39,1.1621,32.32
2025-02-06 16:52:41,1.167,31.82
2025-02-06 16:52:43,1.1572,32.07
2025-02-06 16:52:45,1.1572,31.82
2025-02-06 16:52:47,1.1621,32.57
2025-02-06 16:52:49,1.1572,32.32
2025-02-06 16:52:51,1.1572,32.57
2025-02-06 16:52:53,1.1572,32.07
2025-02-06 16:52:55,1.1621,32.07
2025-02-06 16:52:57,1.1621,32.07
2025-02-06 16:52:59,1.1621,32.32
2025-02-06 16:53:01,1.167,32.32
2025-02-06 16:53:03,1.167,32.32
2025-02-06 16:53:05,1.1621,32.07
2025-02-06 16:53:07,1.1621,31.82
2025-02-06 16:53:09,1.1719,32.32
2025-02-06 16:53:11,1.1621,32.57
2025-02-06 16:53:13,1.1621,31.82
2025-02-06 16:53:15,1.167,32.07
2025-02-06 16:53:17,1.1621,32.07
2025-02-06 16:53:19,1.1572,31.82
2025-02-06 16:53:21,1.1621,32.32
2025-02-06 16:53:23,1.1572,32.57
2025-02-06 16:53:25,1.1621,31.82
2025-02-06 16:53:27,1.1572,31.82
2025-02-06 16:53:29,1.1621,32.32
2025-02-06 16:53:31,1.1621,31.82
2025-02-06 16:53:33,1.167,32.07
2025-02-06 16:53:35,1.1621,32.57
2025-02-06 16:53:37,1.1621,32.32
2025-02-06 16:53:39,1.1621,32.32
2025-02-06 16:53:41,1.1621,32.57
2025-02-06 16:53:43,1.1621,32.57
2025-02-06 16:53:45,1.1621,32.32
2025-02-06 16:53:47,1.167,32.32
2025-02-06 16:53:49,1.1621,32.32
2025-02-06 16:53:51,1.167,31.82
2025-02-06 16:53:53,1.1572,32.57
2025-02-06 16:53:55,1.1572,32.32
2025-02-06 16:53:57,1.167,32.32
2025-02-06 16:53:59,1.1621,32.07
2025-02-06 16:54:01,1.1621,31.82
2025-02-06 16:54:03,1.1621,32.57
2025-02-06 16:54:05,1.1572,32.57
2025-02-06 16:54:07,1.1572,32.07
2025-02-06 16:54:09,1.1621,32.57
2025-02-06 16:54:10,1.1572,32.07
2025-02-06 16:54:13,1.167,32.32
2025-02-06 16:54:15,1.1621,32.57
2025-02-06 16:54:17,1.1621,32.57
2025-02-06 16:54:18,1.1621,32.32
2025-02-06 16:54:20,1.167,32.57
2025-02-06 16:54:23,1.167,32.32
2025-02-06 16:54:24,1.167,32.57
2025-02-06 16:54:26,1.1719,32.32
2025-02-06 16:54:28,1.1572,32.07
2025-02-06 16:54:30,1.167,32.82
2025-02-06 16:54:32,1.167,32.32
2025-02-06 16:54:34,1.167,32.32
2025-02-06 16:54:36,1.1621,32.32
2025-02-06 16:54:38,1.1621,32.07
2025-02-06 16:54:40,1.1621,32.32
2025-02-06 16:54:42,1.167,32.32
2025-02-06 16:54:44,1.167,32.32
2025-02-06 16:54:46,1.1621,32.07
2025-02-06 16:54:48,1.167,32.07
2025-02-06 16:54:50,1.1719,32.32
2025-02-06 16:54:52,1.167,32.32
2025-02-06 16:54:54,1.167,32.07
2025-02-06 16:54:56,1.1621,32.07
2025-02-06 16:54:58,1.167,32.32
2025-02-06 16:55:00,1.1719,32.32
2025-02-06 16:55:02,1.1572,32.07
2025-02-06 16:55:04,1.167,32.07
2025-02-06 16:55:06,1.167,32.32
2025-02-06 16:55:08,1.1719,32.32
2025-02-06 16:55:10,1.167,32.32
2025-02-06 16:55:12,1.167,32.32
2025-02-06 16:55:14,1.1621,32.07
2025-02-06 16:55:16,1.1621,32.32
2025-02-06 16:55:18,1.167,32.32
2025-02-06 16:55:20,1.1719,32.32
2025-02-06 16:55:22,1.167,32.32
2025-02-06 16:55:24,1.167,32.32
2025-02-06 16:55:26,1.1621,32.07
2025-02-06 16:55:28,1.167,32.32
2025-02-06 16:55:30,1.1572,32.32
2025-02-06 16:55:32,1.167,32.07
2025-02-06 16:55:34,1.1572,32.57
2025-02-06 16:55:36,1.1572,32.57
2025-02-06 16:55:38,1.167,32.57
2025-02-06 16:55:40,1.1572,32.32
2025-02-06 16:55:42,1.167,32.32
2025-02-06 16:55:44,1.1572,32.57
2025-02-06 16:55:46,1.167,32.32
2025-02-06 16:55:48,1.1621,32.32
2025-02-06 16:55:50,1.1621,32.32
2025-02-06 16:55:52,1.1572,31.82
2025-02-06 16:55:54,1.1572,32.07
