ts,voltage,temp
2025-02-05 09:16:12,1.4844,24.81
2025-02-05 09:16:13,1.4697,25.06
2025-02-05 09:16:14,1.5088,25.81
2025-02-05 09:16:15,1.46,25.06
2025-02-05 09:16:16,1.4404,25.31
2025-02-05 09:16:17,1.4697,25.06
2025-02-05 09:16:18,1.4648,25.06
2025-02-05 09:16:19,1.46,25.06
2025-02-05 09:16:20,1.4746,24.56
2025-02-05 09:16:21,1.5088,23.81
2025-02-05 09:16:22,1.543,25.06
2025-02-05 09:16:23,1.5039,24.56
2025-02-05 09:16:24,1.5039,24.81
2025-02-05 09:16:25,1.4307,24.56
2025-02-05 09:16:26,1.499,24.56
2025-02-05 09:16:27,1.4795,24.56
2025-02-05 09:16:28,1.4746,24.56
2025-02-05 09:16:29,1.4502,24.31
2025-02-05 09:16:30,1.46,24.31
2025-02-05 09:16:31,1.46,24.81
2025-02-05 09:16:32,1.4307,24.56
2025-02-05 09:16:33,1.3574,24.56
2025-02-05 09:16:34,1.3721,24.31
2025-02-05 09:16:35,1.3574,24.81
2025-02-05 09:16:36,1.333,24.31
2025-02-05 09:16:37,1.3086,24.81
2025-02-05 09:16:38,1.3086,24.81
2025-02-05 09:16:39,1.3428,24.81
2025-02-05 09:16:40,1.3916,24.81
2025-02-05 09:16:41,1.3818,24.81
2025-02-05 09:16:42,1.3818,24.56
2025-02-05 09:16:43,1.3965,24.81
2025-02-05 09:16:44,1.3916,24.81
2025-02-05 09:16:45,1.4111,24.81
2025-02-05 09:16:46,1.4111,24.31
2025-02-05 09:16:47,1.416,24.81
2025-02-05 09:16:48,1.4404,24.81
2025-02-05 09:16:49,1.4453,24.31
2025-02-05 09:16:50,1.4551,25.31
2025-02-05 09:16:51,1.4014,24.56
2025-02-05 09:16:52,1.3818,24.81
2025-02-05 09:16:53,1.3916,24.81
2025-02-05 09:16:54,1.3623,24.81
2025-02-05 09:16:55,1.3965,25.06
2025-02-05 09:16:56,1.3916,24.56
2025-02-05 09:16:57,1.4014,25.31
2025-02-05 09:16:58,1.3574,25.06
2025-02-05 09:16:59,1.4111,27.56
2025-02-05 09:17:00,1.3525,25.06
2025-02-05 09:17:01,1.377,25.81
2025-02-05 09:17:02,1.3672,25.31
2025-02-05 09:17:03,1.3477,26.31
2025-02-05 09:17:04,1.3037,25.06
2025-02-05 09:17:05,1.3477,25.31
2025-02-05 09:17:06,1.3867,27.31
2025-02-05 09:17:07,1.3867,25.56
2025-02-05 09:17:08,1.4014,25.56
2025-02-05 09:17:09,1.4648,25.56
2025-02-05 09:17:10,1.4502,25.31
2025-02-05 09:17:11,1.4697,25.31
2025-02-05 09:17:12,1.4893,25.31
2025-02-05 09:17:13,1.4795,26.06
2025-02-05 09:17:14,1.46,25.06
2025-02-05 09:17:15,1.4014,25.56
2025-02-05 09:17:16,1.4209,25.31
2025-02-05 09:17:17,1.3672,25.06
2025-02-05 09:17:18,1.3086,24.81
2025-02-05 09:17:19,1.3281,25.31
2025-02-05 09:17:20,1.3379,25.56
