timestamp,CO2,T,HR
2025-02-11 14:03:15,525.7903,30.4421,35.4599
2025-02-11 14:04:15,525.1678,30.4555,35.4462
2025-02-11 14:05:16,525.9711,30.4555,35.4324
2025-02-11 14:06:16,523.1509,30.4688,35.5042
2025-02-11 14:07:16,521.9493,30.4822,35.3668
2025-02-11 14:08:16,520.0163,30.4982,35.4919
2025-02-11 14:09:16,521.5272,30.5116,35.4233
2025-02-11 14:10:16,523.2488,30.5116,35.3989
2025-02-11 14:11:16,521.6702,30.5116,35.3989
2025-02-11 14:12:16,529.5331,30.4982,35.5469
2025-02-11 14:13:16,534.7983,30.5116,35.5499
2025-02-11 14:14:16,536.1699,30.4982,35.4645
2025-02-11 14:15:16,537.8561,30.5383,35.5377
2025-02-11 14:16:16,540.7399,30.5543,35.5103
2025-02-11 14:17:16,539.5252,30.5543,35.4721
2025-02-11 14:18:16,533.1866,30.5543,35.3455
2025-02-11 14:19:16,528.7948,30.5543,35.3867
2025-02-11 14:20:16,526.0514,30.5676,35.4584
2025-02-11 14:21:16,526.5599,30.5543,35.4553
2025-02-11 14:22:16,524.6811,30.5543,35.4553
2025-02-11 14:23:16,519.7025,30.581,35.376
2025-02-11 14:24:16,516.1555,30.5543,35.2905
2025-02-11 14:25:16,513.4471,30.5676,35.2905
2025-02-11 14:26:16,509.4383,30.5676,35.2631
2025-02-11 14:27:16,505.6647,30.597,35.1562
2025-02-11 14:28:16,504.565,30.597,35.3088
2025-02-11 14:29:16,501.4997,30.597,35.2661
2025-02-11 14:30:16,500.7555,30.597,35.3088
2025-02-11 14:31:16,495.8495,30.597,35.2814
2025-02-11 14:32:16,494.4435,30.597,35.2814
2025-02-11 14:33:16,490.3803,30.6104,35.3119
2025-02-11 14:34:16,486.3179,30.6104,35.2676
2025-02-11 14:35:16,482.5082,30.6531,35.3821
2025-02-11 14:36:16,480.6426,30.6371,35.3134
2025-02-11 14:37:16,476.7353,30.6531,35.2432
2025-02-11 14:38:16,473.9008,30.6531,35.257
2025-02-11 14:39:16,474.9905,30.6798,35.3302
2025-02-11 14:40:16,473.9569,30.6371,35.3256
2025-02-11 14:41:16,472.147,30.6531,35.4126
2025-02-11 14:42:16,470.8965,30.6664,35.3027
2025-02-11 14:43:17,469.0093,30.6931,35.3867
2025-02-11 14:44:17,470.879,30.6798,35.4401
2025-02-11 14:45:17,470.2758,30.6798,35.5515
2025-02-11 14:46:17,470.8451,30.7225,35.527
2025-02-11 14:47:17,469.312,30.7225,35.5011
2025-02-11 14:48:17,466.4759,30.7652,35.4218
2025-02-11 14:49:17,463.9739,30.7652,35.3256
2025-02-11 14:50:17,463.2387,30.7652,35.3943
2025-02-11 14:51:17,461.7726,30.7786,35.3806
2025-02-11 14:52:17,460.2036,30.7786,35.4095
2025-02-11 14:53:17,463.2958,30.7652,35.3806
2025-02-11 14:54:17,471.5204,30.7919,35.495
2025-02-11 14:55:17,474.78,30.808,35.5499
2025-02-11 14:56:17,478.7321,30.7919,35.5637
2025-02-11 14:57:17,480.5875,30.808,35.5362
2025-02-11 14:58:17,484.1796,30.808,35.5637
2025-02-11 14:59:17,489.7628,30.8347,35.5957
2025-02-11 15:00:17,490.9971,30.808,35.6613
2025-02-11 15:01:17,495.7611,30.8213,35.9253
2025-02-11 15:02:17,499.003,30.7919,35.7986
2025-02-11 15:03:17,499.381,30.7919,35.7025
2025-02-11 15:04:17,496.8219,30.808,35.6888
2025-02-11 15:05:17,494.5248,30.808,35.7437
2025-02-11 15:06:17,493.8804,30.808,35.7437
2025-02-11 15:07:17,493.6858,30.8213,35.7605
2025-02-11 15:08:17,497.5805,30.848,35.6506
2025-02-11 15:09:17,497.6191,30.848,35.7758
2025-02-11 15:10:17,502.1576,30.848,35.8063
2025-02-11 15:11:17,505.3802,30.864,35.817
2025-02-11 15:12:17,508.3622,30.848,35.8444
2025-02-11 15:13:17,507.8799,30.8774,35.6964
2025-02-11 15:14:17,510.0577,30.8907,35.6689
2025-02-11 15:15:17,511.2435,30.864,35.6964
2025-02-11 15:16:17,511.6916,30.8774,35.6827
2025-02-11 15:17:17,514.3338,30.8774,35.7941
2025-02-11 15:18:17,514.5421,30.8774,35.7788
2025-02-11 15:19:17,515.0731,30.8907,35.8078
